"hisco","status","relation","age","sex"
2120,NA,NA,19,"male"
2120,NA,NA,25,"male"
2120,NA,NA,27,"male"
2120,NA,NA,30,"male"
2120,NA,NA,31,"male"
2120,NA,NA,33,"male"
2120,NA,NA,35,"male"
2120,NA,NA,36,"male"
17140,NA,NA,43,"male"
54020,NA,NA,20,"female"
99999,NA,NA,24,"female"
99999,NA,NA,27,"female"
77610,NA,NA,19,"male"
77610,NA,NA,20,"male"
39310,NA,NA,23,"male"
79510,NA,NA,16,"female"
79510,NA,NA,18,"female"
79510,NA,NA,21,"female"
79510,NA,NA,22,"female"
99999,NA,NA,30,"female"
99999,NA,NA,34,"female"
99999,NA,NA,36,"female"
-2,NA,NA,18,"female"
-2,NA,NA,21,"female"
54020,NA,NA,23,"female"
54020,NA,NA,24,"female"
NA,NA,NA,56,"male"
NA,NA,NA,59,"male"
NA,NA,NA,66,"male"
99999,NA,NA,21,"female"
99999,NA,NA,22,"female"
99999,NA,NA,24,"female"
99999,NA,NA,27,"female"
99999,NA,NA,28,"female"
99999,NA,NA,40,"female"
99999,NA,NA,42,"female"
99999,NA,NA,43,"female"
99999,NA,NA,51,"female"
41025,NA,NA,20,"male"
99930,NA,NA,36,"male"
99930,NA,NA,38,"male"
99930,NA,NA,41,"male"
99930,NA,NA,47,"male"
99930,NA,NA,50,"male"
54020,NA,NA,16,"female"
54020,NA,NA,20,"female"
54020,NA,NA,23,"female"
99999,NA,NA,29,"female"
99999,NA,NA,35,"female"
99999,NA,NA,38,"female"
99999,NA,NA,41,"female"
99999,NA,NA,42,"female"
99999,NA,NA,16,"female"
54020,NA,NA,20,"female"
99999,NA,NA,15,"female"
99999,NA,NA,17,"female"
99999,NA,NA,21,"female"
99999,NA,NA,27,"female"
99999,NA,NA,29,"female"
99999,NA,NA,30,"female"
99999,NA,NA,32,"female"
99999,NA,NA,38,"female"
99999,NA,NA,39,"female"
99999,NA,NA,41,"female"
99999,NA,NA,42,"female"
99999,NA,NA,44,"female"
99999,NA,NA,45,"female"
99999,NA,NA,51,"female"
99999,NA,NA,54,"female"
99999,NA,NA,56,"female"
99999,NA,NA,57,"female"
99999,NA,NA,59,"female"
99999,NA,NA,63,"female"
99999,NA,NA,18,"female"
99999,NA,NA,20,"female"
99999,NA,NA,21,"female"
99999,NA,NA,23,"female"
99999,NA,NA,26,"female"
99999,NA,NA,27,"female"
99999,NA,NA,30,"female"
99999,NA,NA,33,"female"
99999,NA,NA,37,"female"
99999,NA,NA,40,"female"
99999,NA,NA,43,"female"
99999,NA,NA,45,"female"
99999,NA,NA,50,"female"
99999,NA,NA,53,"female"
99999,NA,NA,55,"female"
99999,NA,NA,59,"female"
99999,NA,NA,60,"female"
99999,NA,NA,62,"female"
NA,NA,NA,15,"female"
NA,NA,NA,17,"female"
45130,NA,NA,20,"female"
45130,NA,NA,21,"female"
45130,NA,NA,24,"female"
99999,NA,NA,26,"female"
99999,NA,NA,27,"female"
99999,NA,NA,29,"female"
99999,NA,NA,30,"female"
99999,NA,NA,33,"female"
99999,NA,NA,35,"female"
99999,NA,NA,41,"female"
99999,NA,NA,42,"female"
99999,NA,NA,47,"female"
99999,NA,NA,48,"female"
99999,NA,NA,50,"female"
99999,NA,NA,54,"female"
99999,NA,NA,56,"female"
99999,NA,NA,60,"female"
99999,NA,NA,18,"female"
99999,NA,NA,19,"female"
99999,NA,NA,22,"female"
99999,NA,NA,24,"female"
99999,NA,NA,25,"female"
99999,NA,NA,28,"female"
99999,NA,NA,29,"female"
99999,NA,NA,31,"female"
99999,NA,NA,38,"female"
99999,NA,NA,40,"female"
99999,NA,NA,41,"female"
99999,NA,NA,43,"female"
99999,NA,NA,44,"female"
99999,NA,NA,46,"female"
99999,NA,NA,47,"female"
99999,NA,NA,49,"female"
99999,NA,NA,50,"female"
99999,NA,NA,53,"female"
99999,NA,NA,55,"female"
99999,NA,NA,17,"male"
95160,NA,NA,21,"male"
95160,NA,NA,24,"male"
95160,NA,NA,27,"male"
95160,NA,NA,28,"male"
95160,NA,NA,30,"male"
95160,NA,NA,31,"male"
95160,NA,NA,33,"male"
95160,NA,NA,36,"male"
95160,NA,NA,37,"male"
95160,NA,NA,40,"male"
95160,NA,NA,46,"male"
61270,NA,NA,27,"male"
61270,NA,NA,29,"male"
98500,NA,NA,35,"male"
98500,NA,NA,36,"male"
98500,NA,NA,37,"male"
98500,NA,NA,43,"male"
99999,NA,NA,16,"male"
99999,NA,NA,18,"male"
45220,NA,NA,28,"male"
45220,NA,NA,30,"male"
45220,NA,NA,32,"male"
45220,NA,NA,35,"male"
45220,NA,NA,38,"male"
45220,NA,NA,42,"male"
83210,NA,NA,42,"male"
83210,NA,NA,45,"male"
83210,NA,NA,46,"male"
83210,NA,NA,48,"male"
83210,NA,NA,50,"male"
99999,NA,NA,17,"female"
54020,NA,NA,20,"female"
54020,NA,NA,25,"female"
54020,NA,NA,26,"female"
54020,NA,NA,28,"female"
99999,NA,NA,18,"female"
99999,NA,NA,15,"female"
99999,NA,NA,17,"female"
99999,NA,NA,18,"female"
99999,NA,NA,20,"female"
99999,NA,NA,22,"female"
99999,NA,NA,23,"female"
99999,NA,NA,25,"female"
99999,NA,NA,29,"female"
-2,NA,NA,17,"female"
45130,NA,NA,19,"female"
45130,NA,NA,22,"female"
99999,NA,NA,23,"female"
99999,NA,NA,28,"female"
99999,NA,NA,31,"female"
99999,NA,NA,32,"female"
99999,NA,NA,34,"female"
99999,NA,NA,37,"female"
99999,NA,NA,38,"female"
83210,NA,NA,17,"male"
83210,NA,NA,18,"male"
83210,NA,NA,20,"male"
83210,NA,NA,21,"male"
83210,NA,NA,23,"male"
83210,NA,NA,25,"male"
83210,NA,NA,27,"male"
83210,NA,NA,28,"male"
83210,NA,NA,30,"male"
83210,NA,NA,31,"male"
83210,NA,NA,33,"male"
83210,NA,NA,36,"male"
83210,NA,NA,40,"male"
83210,NA,NA,42,"male"
99999,NA,NA,15,"female"
99999,NA,NA,17,"female"
99999,NA,NA,18,"female"
99999,NA,NA,15,"female"
99999,NA,NA,17,"female"
99999,NA,NA,18,"female"
99999,NA,NA,21,"female"
99999,NA,NA,26,"female"
99999,NA,NA,27,"female"
99999,NA,NA,29,"female"
99999,NA,NA,33,"female"
99999,NA,NA,36,"female"
99999,NA,NA,16,"female"
99999,NA,NA,17,"female"
99999,NA,NA,19,"female"
99999,NA,NA,20,"female"
99999,NA,NA,22,"female"
99999,NA,NA,23,"female"
99999,NA,NA,25,"female"
99999,NA,NA,26,"female"
99999,NA,NA,28,"female"
99999,NA,NA,29,"female"
99999,NA,NA,35,"female"
99999,NA,NA,40,"female"
99999,NA,NA,41,"female"
99999,NA,NA,18,"female"
99999,NA,NA,20,"female"
99999,NA,NA,21,"female"
99999,NA,NA,23,"female"
99999,NA,NA,24,"female"
99999,NA,NA,27,"female"
99999,NA,NA,30,"female"
99999,NA,NA,36,"female"
99999,NA,NA,21,"female"
99999,NA,NA,22,"female"
99999,NA,NA,25,"female"
99999,NA,NA,28,"female"
99999,NA,NA,29,"female"
99999,NA,NA,33,"female"
99999,NA,NA,34,"female"
99999,NA,NA,37,"female"
NA,NA,NA,15,"female"
4217,NA,NA,28,"male"
4217,NA,NA,29,"male"
51050,NA,NA,35,"male"
51050,NA,NA,40,"male"
51050,NA,NA,43,"male"
98135,NA,NA,49,"male"
98135,NA,NA,51,"male"
98135,NA,NA,52,"male"
98135,NA,NA,54,"male"
98135,NA,NA,55,"male"
51050,NA,NA,57,"male"
51050,NA,NA,60,"male"
51050,NA,NA,63,"male"
51050,NA,NA,67,"male"
NA,NA,NA,21,"male"
NA,NA,NA,24,"male"
NA,NA,NA,25,"male"
NA,NA,NA,27,"male"
7110,NA,NA,17,"female"
7110,NA,NA,18,"female"
7110,NA,NA,20,"female"
7110,NA,NA,21,"female"
7110,NA,NA,24,"female"
7110,NA,NA,26,"female"
-2,NA,NA,29,"female"
99999,NA,NA,30,"female"
98620,NA,NA,22,"male"
98500,NA,NA,25,"male"
98500,NA,NA,28,"male"
98500,NA,NA,33,"male"
98500,NA,NA,35,"male"
98500,NA,NA,36,"male"
98500,NA,NA,38,"male"
99999,NA,NA,23,"female"
99999,NA,NA,25,"female"
99999,NA,NA,26,"female"
99999,NA,NA,28,"female"
99999,NA,NA,29,"female"
99999,NA,NA,31,"female"
99999,NA,NA,32,"female"
99999,NA,NA,35,"female"
99999,NA,NA,37,"female"
99999,NA,NA,38,"female"
99999,NA,NA,42,"female"
99999,NA,NA,45,"female"
99999,NA,NA,46,"female"
99999,NA,NA,48,"female"
99999,NA,NA,49,"female"
99999,NA,NA,51,"female"
99999,NA,NA,52,"female"
99999,NA,NA,54,"female"
99999,NA,NA,57,"female"
99999,NA,NA,15,"male"
99999,NA,NA,18,"male"
99999,NA,NA,20,"male"
99999,NA,NA,21,"male"
99999,NA,NA,24,"male"
99930,NA,NA,26,"male"
99930,NA,NA,27,"male"
99930,NA,NA,29,"male"
99930,NA,NA,30,"male"
99930,NA,NA,35,"male"
99930,NA,NA,39,"male"
99930,NA,NA,41,"male"
87350,NA,NA,42,"male"
87350,NA,NA,44,"male"
87350,NA,NA,47,"male"
87350,NA,NA,48,"male"
87350,NA,NA,53,"male"
87350,NA,NA,56,"male"
87350,NA,NA,60,"male"
87350,NA,NA,61,"male"
87350,NA,NA,63,"male"
87350,NA,NA,64,"male"
87350,NA,NA,66,"male"
87350,NA,NA,69,"male"
87350,NA,NA,70,"male"
99999,NA,NA,22,"female"
99999,NA,NA,25,"female"
99999,NA,NA,27,"female"
99999,NA,NA,28,"female"
99999,NA,NA,30,"female"
99999,NA,NA,32,"female"
99999,NA,NA,33,"female"
99999,NA,NA,35,"female"
99999,NA,NA,36,"female"
99999,NA,NA,39,"female"
99999,NA,NA,41,"female"
99999,NA,NA,43,"female"
99999,NA,NA,46,"female"
99999,NA,NA,49,"female"
99999,NA,NA,50,"female"
99999,NA,NA,52,"female"
99999,NA,NA,53,"female"
99999,NA,NA,55,"female"
99999,NA,NA,56,"female"
99999,NA,NA,59,"female"
99999,NA,NA,62,"female"
99999,NA,NA,64,"female"
99999,NA,NA,67,"female"
99999,NA,NA,69,"female"
99999,NA,NA,70,"female"
99999,NA,NA,72,"female"
39310,NA,NA,15,"female"
39310,NA,NA,18,"female"
39310,NA,NA,23,"female"
39310,NA,NA,24,"female"
39310,NA,NA,26,"female"
39310,NA,NA,27,"female"
39310,NA,NA,28,"female"
39310,NA,NA,30,"female"
39310,NA,NA,31,"female"
39310,NA,NA,37,"female"
39310,NA,NA,39,"female"
39310,NA,NA,40,"female"
98330,NA,NA,31,"male"
98330,NA,NA,37,"male"
99999,NA,NA,16,"female"
-2,NA,NA,20,"female"
99999,NA,NA,23,"female"
99999,NA,NA,24,"female"
99999,NA,NA,26,"female"
99999,NA,NA,29,"female"
